,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore
0,3000,30,5,0,0,15000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088
1,1000,7,4,0,0,11000,2,5000,0.0,120,10.899528213895117,-0.08266645586641642
2,1000,3,4,0,0,10000,2,5000,1.9,50,18.20474820680184,-0.08188835907470766
3,1600,30,3,0,0,8000,2,3000,1.8,50,116.60091148340622,-0.07140794383241282
4,2500,18,5,1,0,9000,2,8000,1.9,50,19.509699234678827,-0.08174936555923325
5,1000,30,3,0,0,6500,2,3000,1.8,50,116.49377020478083,-0.07141935571121166
6,1300,30,5,1,0,20000,999,7000,1.8,50,116.62438608553013,-0.07140544349530908
7,2000,14,5,0,0,14000,2,7000,1.9,50,18.779277780402047,-0.08182716452910956
8,2500,12,5,0,0,15000,1,12000,1.53,50,14.228888675558583,-0.08231183756660099
9,1000,7,6,0,0,7200,2,4000,0.0,120,10.880047710227105,-0.08266853078235593
10,2000,30,3,0,0,15000,2,2000,1.8,50,116.66609418138302,-0.07140100106433465
11,1400,3,4,0,0,25000,2,15000,1.8,50,16.43314988422052,-0.08207705633123596
12,2500,30,3,0,0,14000,2,4500,1.9,50,118.91718621486433,-0.0711612317636437
13,2000,30,4,0,0,9000,1,3000,1.43,50,113.68122278938337,-0.07171892699346935
14,1500,30,2,0,0,10000,1,3000,1.53,50,114.0631806190725,-0.07167824373380877
15,1000,30,5,0,0,2000,2,500,1.8,50,116.44954200067636,-0.07142406656506003
16,800,3,5,1,0,9000,2,5000,1.8,50,16.08971727947149,-0.08211363617526295
17,1200,9,3,0,1,30000,2,15999,1.8,50,16.38855650661219,-0.08208180608060452
18,3000,30,4,0,0,10000,1,3000,1.8,50,116.95090032736418,-0.07137066566736346
19,1950,30,3,0,0,7900,1,4500,1.8,50,116.70167346409944,-0.07139721142818957
20,1700,9,5,0,0,5000,2,3500,1.8,50,16.180267797358866,-0.0821039914188389
21,3050,20,2,1,0,12000,2,5000,1.8,50,18.000132544083666,-0.08191015318780064
22,1500,30,3,0,0,10000,1,5000,1.9,50,118.703243743341,-0.07118401929788143
23,1500,10,5,0,0,12000,2,2000,1.9,50,18.251251293918024,-0.08188340591752352
24,1000,30,5,0,0,10000,1,5000,1.43,50,113.52902748484904,-0.07173513768641032
25,3000,16,4,0,0,10000,2,3000,1.33,50,13.75663649070286,-0.08236213829816971
26,1500,8,2,0,0,5600,2,3400,1.8,50,16.09571762496276,-0.08211299706383572
27,500,30,3,0,0,3100,2,31000,1.8,50,117.43390856605248,-0.07131921928227755
28,2000,14,5,0,0,20000,2,10000,1.9,50,18.84720219592259,-0.08181992973401146
29,1000,7,5,1,0,8000,2,3000,0.0,120,10.861250729406096,-0.08267053289461057
30,1000,10,5,0,0,12000,2,8000,1.9,50,18.28270372063072,-0.08188005584287274
31,3000,19,5,1,1,14000,2,9000,1.8,50,17.810421152235232,-0.08193035981066636
32,1000,30,4,1,0,20000,2,7000,1.8,50,116.57321402416078,-0.07141089395632398
33,3000,30,5,0,0,9000,2,5000,1.8,50,116.9891778118532,-0.0713665886391693
34,500,7,3,1,0,14200,1,8000,1.9,50,18.076802118417653,-0.08190198692451645
35,1500,21,5,1,1,35000,999,12000,1.9,50,20.173146213266385,-0.08167870020404762
36,550,25,3,0,1,2000,2,7000,1.9,50,22.370594369205108,-0.0814446446435385
37,500,30,2,0,0,12000,2,3500,1.8,50,116.42689564568143,-0.0714264786835428
38,3950,14,5,0,0,18000,2,10000,1.8,50,17.405860803793225,-0.08197345051970469
39,1600,30,3,0,0,9300,1,6900,1.33,50,113.30209201251223,-0.07175930913684188
40,1500,30,5,0,0,8000,2,1500,1.43,50,113.55167031372994,-0.07173272594350258
41,6000,10,5,1,1,20000,999,10000,1.53,50,16.583878014364142,-0.08206100191061633
42,1500,30,3,0,0,7000,1,4000,1.8,50,116.60047804171438,-0.07140798999934415
43,4000,24,3,0,0,10000,2,2500,1.53,50,17.692297627750076,-0.08194294143524665
44,4500,30,3,0,0,12000,1,1500,1.8,50,117.60957558407878,-0.07130050855990806
45,4000,17,5,1,0,8000,2,3000,1.8,50,17.688302548017955,-0.08194336696092899
46,1200,30,4,0,0,5000,2,1200,1.8,50,116.49515984370312,-0.07141920769738208
47,1000,22,3,0,0,8500,2,5000,1.8,50,18.236168974735477,-0.08188501237211063
48,1400,12,2,0,1,10000,2,5000,0.0,250,11.238638699526408,-0.08263033638183406
49,4000,30,6,0,0,25000,1,17000,1.8,50,117.69359281940973,-0.07129155967933737
50,1000,30,2,0,0,10000,2,1500,1.8,50,116.4667796620382,-0.07142223053972263
51,1000,30,2,0,0,9000,2,3000,1.9,50,118.57705540273945,-0.07119745992568845
52,1000,21,5,0,0,7000,999,2500,1.9,50,19.87871392107487,-0.08171006090532043
53,1800,30,3,0,0,6000,2,1000,1.8,50,116.60555083302759,-0.07140744968397382
54,2250,24,3,0,0,6000,2,4000,1.8,50,19.6300844682742,-0.08173654303450154
55,5000,30,5,1,1,13500,2,9000,1.8,50,118.14131520289683,-0.07124387167671652
56,1000,30,4,1,0,14000,1,4000,1.8,50,116.51256718560184,-0.07141735359895703
57,1000,30,3,0,0,7000,1,2000,1.33,50,113.09949006816588,-0.07178088876388158
58,3500,30,5,0,0,8000,2,4000,1.53,50,114.62896545940923,-0.07161798061107037
59,7000,20,5,0,0,5500,2,2500,1.8,50,24.334717408069526,-0.0812354411101
60,2550,30,4,0,0,6000,2,1500,1.8,50,116.79180498316988,-0.07138761130035104
61,4000,30,3,0,0,10000,1,3000,1.8,50,117.35087632880409,-0.07132806324830103
62,3000,30,2,0,0,8000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088
63,3000,4,5,0,0,12000,2,3000,1.8,50,16.44410979522511,-0.08207588896439438
64,1500,22,4,0,1,25000,2,10000,1.53,50,15.914670139438613,-0.08213228087291609
65,4000,15,5,0,0,25000,2,5000,1.9,50,19.52050383195259,-0.0817482147352358
66,2000,30,5,0,0,9000,2,5000,1.8,50,116.72252047829319,-0.07139499096188238
67,1400,30,5,0,0,8000,1,3000,1.8,50,116.56303335196971,-0.07141197832453972
68,5000,30,5,0,0,9500,1,4000,1.53,50,115.51777287447023,-0.07152331156636298
69,1000,30,3,0,0,7500,2,3000,1.8,50,116.49377020478083,-0.07141935571121166
70,6000,28,3,1,0,8000,1,5000,1.8,50,30.696605231629835,-0.08055782092760996
71,1100,30,5,1,1,17000,2,2500,1.8,50,116.50117985033518,-0.07141856649179881
72,1500,30,2,0,0,1200,1,2000,1.9,50,118.64681744643083,-0.0711900294003337
73,3500,28,5,0,0,12000,2,3500,1.8,50,28.445735612123187,-0.08079756653844626
74,1200,24,4,0,0,15000,2,13000,1.53,50,17.1019216572961,-0.08200582381920747
75,3000,30,5,0,0,12000,2,1000,1.8,50,116.91521791337405,-0.07137446628827193
76,900,8,3,0,0,9000,2,8000,0.0,120,10.978244136182418,-0.0826580716416227
77,3000,15,5,0,0,15,2,10000,1.8,50,17.146333382965537,-0.08200109341802979
78,1500,30,2,0,0,11000,2,3000,1.53,50,114.0631806190725,-0.07167824373380877
79,3000,30,5,0,0,12000,1,5000,1.8,50,116.9891778118532,-0.0713665886391693
80,2500,7,2,0,1,7500,2,3500,0.0,290,11.182247376788789,-0.08263634275910195
81,1700,24,4,1,0,7000,2,3000,1.8,50,19.489827420898933,-0.0817514821545668
82,2000,30,3,0,0,9500,2,4000,1.8,50,116.70303997462518,-0.0713970658778219
83,800,15,4,0,0,7300,2,2500,1.9,50,18.58422118038959,-0.08184794048312856
84,3500,30,5,0,0,20000,2,5000,1.8,50,117.16694640489811,-0.07134765407292089
85,1000,30,3,1,0,25000,999,10000,1.9,50,118.72442363763993,-0.07118176337570266
86,4000,30,2,1,0,18000,999,25000,1.8,50,118.0125279269777,-0.07125758912346049
87,3000,3,2,0,0,9500,1,3000,1.8,50,16.540315646937554,-0.08206564184457682
88,4000,30,5,1,0,11500,2,6500,1.9,50,119.5030252149616,-0.07109883262345679
89,1800,15,2,0,0,9100,1,5000,1.8,50,16.72757555220761,-0.0820456963355233
90,4000,15,5,0,0,23000,2,10000,1.9,50,19.629594582364057,-0.08173659521344417
91,1000,10,3,0,0,12000,2,7000,1.9,50,18.26093306960658,-0.08188237468799058
92,2500,30,5,0,0,10000,1,5000,1.8,50,116.84372901828192,-0.07138208074477947
93,4000,14,5,0,0,20700,2,13000,1.8,50,17.50714589511805,-0.08196266239769272
94,3000,30,5,0,0,10000,2,2000,1.8,50,116.93275151494302,-0.07137259874162158
95,1000,14,5,0,0,11500,2,4000,1.8,50,16.444872954861165,-0.08207580767840096
96,1400,12,5,0,1,13300,2,4500,0.0,250,11.228810698150202,-0.08263138318622149
97,1000,15,5,0,0,10000,1,4000,1.8,50,16.56063200630271,-0.08206347789960916
98,2400,10,5,1,1,20000,1,13000,1.8,50,16.607876012522393,-0.08205844582532493
99,1000,22,3,0,0,8900,1,4000,1.43,50,15.213668266646653,-0.08220694629144296
100,2000,30,3,0,0,7000,2,3000,1.8,50,116.68424299380418,-0.07139906799007653
101,3500,30,2,0,0,4000,2,3500,1.9,50,119.22126943673832,-0.07112884311832125
102,1500,18,5,0,0,8000,2,6000,1.8,50,17.15990857770117,-0.08199964749094192
103,3000,12,3,0,1,13000,999,5000,1.8,50,16.733747273039757,-0.08204503897049072
104,3500,30,5,0,0,20000,2,10000,1.8,50,117.27603715530958,-0.07133603455112926
105,2000,15,3,0,0,12000,2,6000,1.9,50,18.87407249674822,-0.08181706771276022
106,4000,16,5,0,0,15500,2,4000,1.8,50,17.55154079715757,-0.08195793378844086
107,1500,30,4,1,0,10000,999,3500,1.9,50,118.6742815772226,-0.07118710412880501
108,1100,20,4,0,0,17000,2,5000,1.8,50,17.543404501609547,-0.08195880040511613
109,3750,30,2,0,0,8000,1,5000,1.8,50,117.2715150583817,-0.071336516210698
110,500,6,2,0,0,6000,2,2500,1.8,50,15.865571228411454,-0.08213751051763366
111,1700,4,3,0,0,9000,1,6500,1.8,50,16.18282552251292,-0.08210371898929696
112,3500,30,5,0,0,12000,2,7000,1.8,50,117.20811273978904,-0.07134326934622735
113,1000,30,2,0,0,7500,2,2500,1.8,50,116.48461689110185,-0.07142033065296757
114,1000,19,3,0,0,15000,2,12000,1.43,50,14.42380008020433,-0.08229107707769447
115,1500,20,5,0,0,5000,1,3000,1.9,50,19.659760111958363,-0.08173338220934295
116,4000,30,3,0,0,12500,2,2500,1.9,50,119.42500821308373,-0.07110714240453372
117,2500,30,5,0,0,15000,1,5000,1.9,50,118.92701421624054,-0.07116018495925626
118,2500,30,4,0,0,22000,2,5000,1.8,50,116.84372901828192,-0.07138208074477947
