,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
0,3000,30,5,0,0,15000,2,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0
1,1000,7,4,0,0,11000,2,5000,0.0,120,10.899528213895117,-0.08266645586641642,0.0
2,1000,3,4,0,0,10000,2,5000,1.9,50,18.20474820680184,-0.08188835907470766,0.0
3,1600,30,3,0,0,8000,2,3000,1.8,50,116.60091148340622,-0.07140794383241282,1.0
4,2500,18,5,1,0,9000,2,8000,1.9,50,19.509699234678827,-0.08174936555923325,0.0
5,1000,30,3,0,0,6500,2,3000,1.8,50,116.49377020478083,-0.07141935571121166,1.0
6,1300,30,5,1,0,20000,999,7000,1.8,50,116.62438608553013,-0.07140544349530908,1.0
7,2000,14,5,0,0,14000,2,7000,1.9,50,18.779277780402047,-0.08182716452910956,0.0
8,2500,12,5,0,0,15000,1,12000,1.53,50,14.228888675558583,-0.08231183756660099,0.0
9,1000,7,6,0,0,7200,2,4000,0.0,120,10.880047710227105,-0.08266853078235593,0.0
10,2000,30,3,0,0,15000,2,2000,1.8,50,116.66609418138302,-0.07140100106433465,1.0
11,1400,3,4,0,0,25000,2,15000,1.8,50,16.43314988422052,-0.08207705633123596,0.0
12,2500,30,3,0,0,14000,2,4500,1.9,50,118.91718621486433,-0.0711612317636437,1.0
13,2000,30,4,0,0,9000,1,3000,1.43,50,113.68122278938337,-0.07171892699346935,1.0
14,1500,30,2,0,0,10000,1,3000,1.53,50,114.0631806190725,-0.07167824373380877,1.0
15,1000,30,5,0,0,2000,2,500,1.8,50,116.44954200067636,-0.07142406656506003,1.0
16,800,3,5,1,0,9000,2,5000,1.8,50,16.08971727947149,-0.08211363617526295,0.0
17,1200,9,3,0,1,30000,2,15999,1.8,50,16.38855650661219,-0.08208180608060452,0.0
18,3000,30,4,0,0,10000,1,3000,1.8,50,116.95090032736418,-0.07137066566736346,1.0
19,1950,30,3,0,0,7900,1,4500,1.8,50,116.70167346409944,-0.07139721142818957,1.0
20,1700,9,5,0,0,5000,2,3500,1.8,50,16.180267797358866,-0.0821039914188389,0.0
21,3050,20,2,1,0,12000,2,5000,1.8,50,18.000132544083666,-0.08191015318780064,0.0
22,1500,30,3,0,0,10000,1,5000,1.9,50,118.703243743341,-0.07118401929788143,1.0
23,1500,10,5,0,0,12000,2,2000,1.9,50,18.251251293918024,-0.08188340591752352,0.0
24,1000,30,5,0,0,10000,1,5000,1.43,50,113.52902748484904,-0.07173513768641032,1.0
25,3000,16,4,0,0,10000,2,3000,1.33,50,13.75663649070286,-0.08236213829816971,0.0
26,1500,8,2,0,0,5600,2,3400,1.8,50,16.09571762496276,-0.08211299706383572,0.0
27,500,30,3,0,0,3100,2,31000,1.8,50,117.43390856605248,-0.07131921928227755,1.0
28,2000,14,5,0,0,20000,2,10000,1.9,50,18.84720219592259,-0.08181992973401146,0.0
29,1000,7,5,1,0,8000,2,3000,0.0,120,10.861250729406096,-0.08267053289461057,0.0
30,1000,10,5,0,0,12000,2,8000,1.9,50,18.28270372063072,-0.08188005584287274,0.0
31,3000,19,5,1,1,14000,2,9000,1.8,50,17.810421152235232,-0.08193035981066636,0.0
32,1000,30,4,1,0,20000,2,7000,1.8,50,116.57321402416078,-0.07141089395632398,1.0
33,3000,30,5,0,0,9000,2,5000,1.8,50,116.9891778118532,-0.0713665886391693,1.0
34,500,7,3,1,0,14200,1,8000,1.9,50,18.076802118417653,-0.08190198692451645,0.0
35,1500,21,5,1,1,35000,999,12000,1.9,50,20.173146213266385,-0.08167870020404762,0.0
36,550,25,3,0,1,2000,2,7000,1.9,50,22.370594369205108,-0.0814446446435385,0.0
37,500,30,2,0,0,12000,2,3500,1.8,50,116.42689564568143,-0.0714264786835428,1.0
38,3950,14,5,0,0,18000,2,10000,1.8,50,17.405860803793225,-0.08197345051970469,0.0
39,1600,30,3,0,0,9300,1,6900,1.33,50,113.30209201251223,-0.07175930913684188,1.0
40,1500,30,5,0,0,8000,2,1500,1.43,50,113.55167031372994,-0.07173272594350258,1.0
41,6000,10,5,1,1,20000,999,10000,1.53,50,16.583878014364142,-0.08206100191061633,0.0
42,1500,30,3,0,0,7000,1,4000,1.8,50,116.60047804171438,-0.07140798999934415,1.0
43,4000,24,3,0,0,10000,2,2500,1.53,50,17.692297627750076,-0.08194294143524665,0.0
44,4500,30,3,0,0,12000,1,1500,1.8,50,117.60957558407878,-0.07130050855990806,1.0
45,4000,17,5,1,0,8000,2,3000,1.8,50,17.688302548017955,-0.08194336696092899,0.0
46,1200,30,4,0,0,5000,2,1200,1.8,50,116.49515984370312,-0.07141920769738208,1.0
47,1000,22,3,0,0,8500,2,5000,1.8,50,18.236168974735477,-0.08188501237211063,0.0
48,1400,12,2,0,1,10000,2,5000,0.0,250,11.238638699526408,-0.08263033638183406,0.0
49,4000,30,6,0,0,25000,1,17000,1.8,50,117.69359281940973,-0.07129155967933737,1.0
50,1000,30,2,0,0,10000,2,1500,1.8,50,116.4667796620382,-0.07142223053972263,1.0
