,Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
0,loan_amount,Сумма кредита в заявке,Обязательно,Известно,Указывает заемщик,
1,loan_days,Срок погашения кредита в заявке,Обязательно,Известно,Указывает заемщик,
2,gender_id,Пол заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
3,birth_date,Дата рождения заемщика,Обязательно,Известно,Указывает заемщик,Иногда заполнена неправильно
4,children_count_id,Количество детей у заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
5,education_id,Уровень образования заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
6,fact_addr_owner_type_id,Адрес проживания: тип собственности,,Известно,Указывает заемщик,Нужна расшифровка id
7,fact_addr_start_date,Адрес регистрации: дата начала проживания,,Известно,Указывает заемщик,
8,has_immovables,Владеет недвижимостью,Обязательно,Известно,Указывает заемщик,
9,has_movables,Владеет транспортным средством,Обязательно,Известно,Указывает заемщик,
10,employment_type_id,Место работы: Тип занятости,,Известно,Указывает заемщик,Нужна расшифровка id
11,position_id,Место работы: тип должности,,Известно,Указывает заемщик,Нужна расшифровка id
12,organization_type_id,Место работы: тип организации,,Известно,Указывает заемщик,Нужна расшифровка id
13,organization_branch_id,Место работы: отрасль организации,,Известно,Указывает заемщик,Нужна расшифровка id
14,empoyees_count_id,Место работы: количество сотрудников организации,,Известно,Указывает заемщик,Нужна расшифровка id
15,employment_date,Место работы: дата начала работы,,Известно,Указывает заемщик,Должна быть заполнена правильно
16,seniority_years,Трудовой стаж,Обязательно,Известно,Указывает заемщик,Должен быть указан правильно
17,has_prior_employment,есть предыдущее место работы,,Известно,Указывает заемщик,
18,prior_employment_start_date,Дата начала работы на предыдущем месте,,Известно,Указывает заемщик,
19,prior_employment_end_date,Дата завершения работы на предыдущем месте,,Известно,Указывает заемщик,
20,monthly_income,Ежемесячные доходы,Обязательно,Известно,Указывает заемщик,
21,income_frequency_id,Частота получения дохода,Обязательно,Известно,Указывает заемщик,
22,income_frequency_other,Дополнительная информация о частоте дохода,,Известно,Указывает заемщик,
23,income_source_id,Источник получения дохода,Обязательно,Известно,Указывает заемщик,
24,monthly_expenses,Ежемесячные расходы,Обязательно,Известно,Указывает заемщик,
25,other_loans_has_closed,Все другие займы погашены,,Известно,Указывает заемщик,
26,other_loans_active,Есть непогашенные займы,,Известно,Указывает заемщик,
27,other_loans_about_current,Общий размер непогашенных займов,,Известно,Указывает заемщик,
28,other_loans_about_monthly,Ежемесячные выплаты по непогашенным займам,,Известно,Указывает заемщик,
29,product_id,"id продукта, который выдается клиенту",Обязательно,???,параметры связанные с выданным продуктом,
30,product_dpr,процентная ставка по кредиту,,???,параметры связанные с выданным продуктом,
31,product_amount_from,Нижний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
32,product_amount_to,Верхний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
33,product_interest_min,минимальная сумма по продукту,,???,параметры связанные с выданным продуктом,
34,product_base_amount_limit,лимит суммы по продукту,,???,параметры связанные с выданным продуктом,
35,amount_limit,лимит суммы,,???,параметры связанные с выданным продуктом,
36,applied_limit,утвержденные лимит,,???,параметры связанные с выданным продуктом,
37,amount_to_pay,сумма для оплаты минимальная,,???,параметры связанные с выданным продуктом,
