,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_id,product_dpr,product_interest_min,applied_limit,amount_to_pay
0,3000,30,5,0,0,15000,2,4000,30,1.8,50,3000,0.0
1,1000,7,4,0,0,11000,2,5000,57,0.0,120,1000,0.0
2,1000,3,4,0,0,10000,2,5000,10,1.9,50,1000,1088.0
3,1600,30,3,0,0,8000,2,3000,2,1.8,50,1600,0.0
4,2500,18,5,1,0,9000,2,8000,10,1.9,50,2500,3402.5
5,1000,30,3,0,0,6500,2,3000,32,1.8,50,6000,0.0
6,1300,30,5,1,0,20000,999,7000,2,1.8,50,1300,2028.6
7,2000,14,5,0,0,14000,2,7000,10,1.9,50,2500,0.0
8,2500,12,5,0,0,15000,1,12000,35,1.53,50,3000,0.0
9,1000,7,6,0,0,7200,2,4000,57,0.0,120,1000,0.0
10,2000,30,3,0,0,15000,2,2000,31,1.8,50,2000,0.0
11,1400,3,4,0,0,25000,2,15000,30,1.8,50,2000,0.0
12,2500,30,3,0,0,14000,2,4500,10,1.9,50,2500,3927.5
13,2000,30,4,0,0,9000,1,3000,36,1.43,50,2000,0.0
14,1500,30,2,0,0,10000,1,3000,35,1.53,50,1500,2215.55
15,1000,30,5,0,0,2000,2,500,32,1.8,50,2000,0.0
16,800,3,5,1,0,9000,2,5000,32,1.8,50,6000,0.0
17,1200,9,3,0,1,30000,2,15999,30,1.8,50,1500,1422.8
18,3000,30,4,0,0,10000,1,3000,31,1.8,50,3000,4620.0
19,1950,30,3,0,0,7900,1,4500,31,1.8,50,1950,0.0
20,1700,9,5,0,0,5000,2,3500,32,1.8,50,8000,0.0
21,3050,20,2,1,0,12000,2,5000,32,1.8,50,4000,0.0
22,1500,30,3,0,0,10000,1,5000,10,1.9,50,1500,0.0
23,1500,10,5,0,0,12000,2,2000,10,1.9,50,1500,1806.5
24,1000,30,5,0,0,10000,1,5000,36,1.43,50,3500,0.0
25,3000,16,4,0,0,10000,2,3000,12,1.33,50,3000,0.0
26,1500,8,2,0,0,5600,2,3400,31,1.8,50,1500,1739.0
27,500,30,3,0,0,3100,2,31000,31,1.8,50,2000,0.0
28,2000,14,5,0,0,20000,2,10000,10,1.9,50,2500,0.0
29,1000,7,5,1,0,8000,2,3000,57,0.0,120,1000,1000.0
30,1000,10,5,0,0,12000,2,8000,10,1.9,50,1000,0.0
31,3000,19,5,1,1,14000,2,9000,30,1.8,50,3000,4026.0
32,1000,30,4,1,0,20000,2,7000,31,1.8,50,1000,1572.0
33,3000,30,5,0,0,9000,2,5000,30,1.8,50,3000,0.0
34,500,7,3,1,0,14200,1,8000,10,1.9,50,1000,607.0
35,1500,21,5,1,1,35000,999,12000,10,1.9,50,1500,0.0
36,550,25,3,0,1,2000,2,7000,10,1.9,50,1000,850.8
37,500,30,2,0,0,12000,2,3500,31,1.8,50,1500,-32.0
38,3950,14,5,0,0,18000,2,10000,31,1.8,50,4000,0.0
39,1600,30,3,0,0,9300,1,6900,12,1.33,50,3500,0.0
40,1500,30,5,0,0,8000,2,1500,36,1.43,50,1500,0.0
41,6000,10,5,1,1,20000,999,10000,35,1.53,50,6000,0.0
42,1500,30,3,0,0,7000,1,4000,30,1.8,50,1500,2333.0
43,4000,24,3,0,0,10000,2,2500,35,1.53,50,4000,0.0
44,4500,30,3,0,0,12000,1,1500,32,1.8,50,4500,0.0
45,4000,17,5,1,0,8000,2,3000,31,1.8,50,4000,0.0
46,1200,30,4,0,0,5000,2,1200,32,1.8,50,8000,0.0
47,1000,22,3,0,0,8500,2,5000,30,1.8,50,1000,1428.0
48,1400,12,2,0,1,10000,2,5000,62,0.0,250,1400,0.0
49,4000,30,6,0,0,25000,1,17000,32,1.8,50,4000,0.0
50,1000,30,2,0,0,10000,2,1500,30,1.8,50,1000,0.0
51,1000,30,2,0,0,9000,2,3000,10,1.9,50,1000,0.0
52,1000,21,5,0,0,7000,999,2500,10,1.9,50,1000,0.0
53,1800,30,3,0,0,6000,2,1000,32,1.8,50,1800,0.0
54,2250,24,3,0,0,6000,2,4000,32,1.8,50,4500,0.0
55,5000,30,5,1,1,13500,2,9000,32,1.8,50,5000,7700.0
56,1000,30,4,1,0,14000,1,4000,31,1.8,50,2500,0.0
57,1000,30,3,0,0,7000,1,2000,12,1.33,50,3000,0.0
58,3500,30,5,0,0,8000,2,4000,35,1.53,50,3500,0.0
59,7000,20,5,0,0,5500,2,2500,32,1.8,50,8000,0.0
60,2550,30,4,0,0,6000,2,1500,32,1.8,50,8000,0.0
61,4000,30,3,0,0,10000,1,3000,32,1.8,50,6000,0.0
62,3000,30,2,0,0,8000,2,4000,31,1.8,50,3000,0.0
63,3000,4,5,0,0,12000,2,3000,30,1.8,50,3000,3216.0
64,1500,22,4,0,1,25000,2,10000,35,1.53,50,1500,2165.55
65,4000,15,5,0,0,25000,2,5000,10,1.9,50,4000,5140.0
66,2000,30,5,0,0,9000,2,5000,32,1.8,50,2000,0.0
67,1400,30,5,0,0,8000,1,3000,30,1.8,50,1400,-7.0
68,5000,30,5,0,0,9500,1,4000,35,1.53,50,5000,0.0
69,1000,30,3,0,0,7500,2,3000,31,1.8,50,1000,0.0
70,6000,28,3,1,0,8000,1,5000,32,1.8,50,8000,0.0
71,1100,30,5,1,1,17000,2,2500,2,1.8,50,1100,0.0
72,1500,30,2,0,0,1200,1,2000,10,1.9,50,1500,0.0
73,3500,28,5,0,0,12000,2,3500,32,1.8,50,3500,0.0
74,1200,24,4,0,0,15000,2,13000,35,1.53,50,3000,0.0
75,3000,30,5,0,0,12000,2,1000,31,1.8,50,3000,0.0
76,900,8,3,0,0,9000,2,8000,61,0.0,120,900,0.0
77,3000,15,5,0,0,15,2,10000,31,1.8,50,3000,3324.0
78,1500,30,2,0,0,11000,2,3000,35,1.53,50,1500,0.0
79,3000,30,5,0,0,12000,1,5000,31,1.8,50,3000,0.0
80,2500,7,2,0,1,7500,2,3500,65,0.0,290,2500,0.0
81,1700,24,4,1,0,7000,2,3000,30,1.8,50,3000,2436.8
82,2000,30,3,0,0,9500,2,4000,2,1.8,50,4000,0.0
83,800,15,4,0,0,7300,2,2500,10,1.9,50,1000,0.0
84,3500,30,5,0,0,20000,2,5000,31,1.8,50,3500,5390.0
85,1000,30,3,1,0,25000,999,10000,10,1.9,50,1000,0.0
86,4000,30,2,1,0,18000,999,25000,31,1.8,50,4000,0.0
87,3000,3,2,0,0,9500,1,3000,31,1.8,50,3500,0.0
88,4000,30,5,1,0,11500,2,6500,10,1.9,50,4000,0.0
89,1800,15,2,0,0,9100,1,5000,32,1.8,50,1800,0.0
90,4000,15,5,0,0,23000,2,10000,10,1.9,50,4000,0.0
91,1000,10,3,0,0,12000,2,7000,10,1.9,50,1000,1221.0
92,2500,30,5,0,0,10000,1,5000,31,1.8,50,2500,0.0
93,4000,14,5,0,0,20700,2,13000,31,1.8,50,4000,5008.0
94,3000,30,5,0,0,10000,2,2000,31,1.8,50,3000,0.0
95,1000,14,5,0,0,11500,2,4000,32,1.8,50,5250,0.0
96,1400,12,5,0,1,13300,2,4500,62,0.0,250,1400,0.0
97,1000,15,5,0,0,10000,1,4000,30,1.8,50,1000,1302.0
98,2400,10,5,1,1,20000,1,13000,2,1.8,50,2400,0.0
99,1000,22,3,0,0,8900,1,4000,36,1.43,50,2000,0.0
100,2000,30,3,0,0,7000,2,3000,32,1.8,50,2000,0.0
101,3500,30,2,0,0,4000,2,3500,10,1.9,50,3500,5495.0
102,1500,18,5,0,0,8000,2,6000,31,1.8,50,1500,0.0
103,3000,12,3,0,1,13000,999,5000,31,1.8,50,3000,0.0
104,3500,30,5,0,0,20000,2,10000,30,1.8,50,3500,5327.0
105,2000,15,3,0,0,12000,2,6000,10,1.9,50,2500,0.0
106,4000,16,5,0,0,15500,2,4000,31,1.8,50,4000,0.0
107,1500,30,4,1,0,10000,999,3500,10,1.9,50,1500,38.25
108,1100,20,4,0,0,17000,2,5000,2,1.8,50,1100,0.0
109,3750,30,2,0,0,8000,1,5000,32,1.8,50,4000,0.0
110,500,6,2,0,0,6000,2,2500,22,1.8,50,800,124.37
111,1700,4,3,0,0,9000,1,6500,30,1.8,50,1700,0.0
112,3500,30,5,0,0,12000,2,7000,31,1.8,50,3500,0.0
113,1000,30,2,0,0,7500,2,2500,30,1.8,50,1000,0.0
114,1000,19,3,0,0,15000,2,12000,36,1.43,50,1000,0.0
115,1500,20,5,0,0,5000,1,3000,10,1.9,50,1500,2091.5
116,4000,30,3,0,0,12500,2,2500,10,1.9,50,4000,0.0
117,2500,30,5,0,0,15000,1,5000,10,1.9,50,2500,3927.5
118,2500,30,4,0,0,22000,2,5000,31,1.8,50,2500,0.0
119,1400,12,3,0,0,9500,2,6500,62,0.0,250,1400,0.0
120,1000,15,5,0,0,22000,1,4000,30,1.8,50,1000,0.0
121,500,5,5,0,0,8700,1,2500,2,1.8,50,8000,0.0
122,4000,14,5,0,1,15000,2,10000,36,1.43,50,4000,0.0
123,1500,30,3,0,0,25000,999,12000,36,1.43,50,1500,2172.05
124,1500,10,4,1,1,15000,999,6000,59,0.0,220,1500,0.0
125,2500,30,3,1,0,12500,2,3000,31,1.8,50,2500,0.0
126,1000,30,5,0,0,8300,1,3200,30,1.8,50,1000,1572.0
127,2300,18,3,0,0,6000,2,4000,32,1.8,50,4500,3053.8
128,3500,30,5,0,0,8000,2,4000,31,1.8,50,3500,0.0
129,1500,6,3,0,0,2400,1,1500,12,1.33,50,3500,0.0
130,3500,30,3,0,0,7000,999,5000,35,1.53,50,3500,0.0
131,5000,30,5,0,1,40000,2,20000,32,1.8,50,5000,0.0
132,2000,21,3,0,0,4000,1,4000,31,1.8,50,2000,0.0
133,5000,5,5,0,0,30000,2,20000,32,1.8,50,5000,0.0
134,3000,17,3,0,0,5500,2,2000,30,1.8,50,3000,0.0
135,3500,30,5,0,0,13000,1,5000,30,1.8,50,3500,0.0
136,2000,14,5,1,0,10000,2,5600,64,0.0,450,2000,0.0
137,1000,14,5,0,0,16000,2,4000,10,1.9,50,1000,1297.0
138,3500,15,4,0,0,15000,999,4000,10,1.9,50,3500,0.0
139,4500,17,3,1,0,15000,2,6000,32,1.8,50,4500,0.0
140,3500,24,2,0,0,10000,1,4000,31,1.8,50,3500,5012.0
141,1000,30,3,0,0,14000,999,8000,30,1.8,50,1000,1572.0
142,3500,30,5,0,0,8000,2,7000,31,1.8,50,3500,5390.0
143,600,28,2,0,0,8000,1,3500,35,1.53,50,1200,0.0
144,400,30,3,0,0,6500,2,1000,2,1.8,50,400,0.0
145,5000,30,5,0,0,9000,999,8500,32,1.8,50,5000,0.0
146,4250,24,5,0,0,12000,2,2000,2,1.8,50,8000,6045.0
147,1000,30,4,0,0,13000,2,3000,30,1.8,50,1000,0.0
148,900,8,2,0,0,5000,2,1000,61,0.0,120,900,1020.0
149,3000,24,5,0,0,15000,2,4500,10,1.9,50,4000,0.0
150,1500,30,5,1,0,12300,2,7000,30,1.8,50,1500,-11.0
151,2000,14,4,0,0,15000,2,8000,31,1.8,50,2000,0.0
152,1000,30,3,0,0,15000,999,5000,10,1.9,50,1000,0.0
153,1300,30,3,0,0,9700,2,1000,2,1.8,50,1300,0.0
154,4000,30,5,0,0,5000,2,2000,32,1.8,50,4000,0.0
155,500,30,3,1,1,2500,2,1000,32,1.8,50,6000,0.0
156,2500,30,5,0,0,14000,2,3000,12,1.33,50,2500,0.0
157,1000,29,4,0,0,15000,2,5000,31,1.8,50,1000,0.0
158,3000,30,5,0,0,18200,2,10000,10,1.9,50,4000,0.0
159,1000,30,4,1,0,4000,1,1000,30,1.8,50,1000,1572.0
160,4000,30,5,0,1,20000,1,10000,32,1.8,50,7000,0.0
161,1500,26,5,0,0,15000,1,7500,10,1.9,50,1500,0.0
162,5000,14,5,0,0,16000,2,2500,35,1.53,50,5000,0.0
163,3500,30,3,1,0,5500,1,5000,31,1.8,50,3500,5390.0
164,5000,10,5,1,0,9000,2,5000,32,1.8,50,6000,0.0
165,1500,30,5,0,0,12000,1,5000,36,1.43,50,1500,0.0
166,1000,30,5,0,1,13000,2,7000,12,1.33,50,1000,0.0
167,1000,30,2,0,0,6000,2,3000,10,1.9,50,3000,0.0
168,2000,18,4,0,1,12000,2,3500,10,1.9,50,2500,3102.0
169,2500,10,5,0,0,11000,1,11000,35,1.53,50,2500,0.0
170,2600,30,3,0,0,9500,1,3500,32,1.8,50,5000,0.0
171,1500,30,2,0,0,15000,1,7000,35,1.53,50,1500,0.0
172,800,16,3,0,0,5000,2,3500,2,1.8,50,8000,0.0
173,700,29,5,1,0,11000,2,8000,10,1.9,50,3500,0.0
174,2500,30,5,1,1,12000,1,6000,30,1.8,50,2500,3855.0
175,1000,30,5,1,0,9000,2,5000,10,1.9,50,1000,0.0
176,800,25,3,0,0,7150,1,3000,32,1.8,50,5000,0.0
177,3500,30,5,0,0,40000,2,15000,35,1.53,50,3500,0.0
178,1000,15,2,0,1,7500,2,2000,36,1.43,50,1000,0.0
179,500,30,2,0,0,7000,1,4000,2,1.8,50,6000,-13.0
180,2050,17,5,0,0,15000,2,10000,35,1.53,50,2500,0.0
181,3000,15,5,0,0,10500,1,3500,10,1.9,50,4000,3855.0
182,3500,14,5,0,0,25000,1,8000,30,1.8,50,3500,0.0
183,2000,21,2,1,0,7000,2,3000,35,1.53,50,2000,0.0
184,1000,30,2,0,0,3100,2,1480,30,1.8,50,1000,0.0
185,500,3,5,0,0,4200,2,3000,35,1.53,50,3500,0.0
186,4000,10,5,0,0,20000,999,15000,31,1.8,50,4000,4432.0
187,1000,30,2,0,0,10000,2,6000,30,1.8,50,1000,1572.0
188,1000,30,3,0,0,7500,1,2000,31,1.8,50,3000,0.0
189,3600,4,5,0,0,7600,2,2000,35,1.53,50,5200,2918.79
190,2500,30,4,0,0,5500,1,2000,22,1.8,50,7500,0.0
191,1000,7,3,0,0,8000,999,5000,12,1.33,50,3500,0.0
192,1000,30,2,0,0,8700,1,1000,10,1.9,50,1000,0.0
193,5000,30,4,0,0,10000,2,2000,2,1.8,50,8000,0.0
194,2000,14,5,0,0,19000,1,5000,31,1.8,50,2500,2360.0
195,900,5,3,0,0,6500,1,4500,2,1.8,50,900,0.0
196,3500,25,5,0,0,10000,1,3000,36,1.43,50,3500,4751.25
197,5000,30,3,0,0,8000,2,3800,32,1.8,50,5000,7610.0
198,1500,20,5,0,0,1200,1,5000,30,1.8,50,4000,0.0
199,800,20,5,0,0,14700,1,12000,31,1.8,50,1500,0.0
200,1500,21,5,0,0,8000,2,3000,10,1.9,50,1500,0.0
201,1000,5,3,0,0,12000,2,5000,36,1.43,50,1000,1107.2
202,1400,30,3,1,1,6500,2,2500,25,1.8,50,5000,0.0
203,2900,10,3,0,0,7000,2,7000,35,1.53,50,8000,0.0
204,1000,30,2,0,0,4000,1,4000,36,1.43,50,1000,0.0
205,1500,20,5,0,0,7000,2,5000,10,1.9,50,2500,0.0
