,Unnamed: 0,Field_in_data,Description_of_information,Minimax,At_the_time_of_the_request,Place_of_definition,Note,Unnamed: 6
0,0,loan_amount,Сумма кредита в заявке,min,Известно,Указывает заемщик,,
1,1,loan_days,Срок погашения кредита в заявке,min,Известно,Указывает заемщик,,
2,5,education_id,Уровень образования заемщика,max,Известно,Указывает заемщик,Нужна расшифровка id,
3,7,has_immovables,Владеет недвижимостью,max,Известно,Указывает заемщик,,
4,8,has_movables,Владеет транспортным средством,max,Известно,Указывает заемщик,,
5,14,monthly_income,Ежемесячные доходы,max,Известно,Указывает заемщик,,
6,15,income_frequency_id,Частота получения дохода,max,Известно,Указывает заемщик,,
7,17,monthly_expenses,Ежемесячные расходы,min,Известно,Указывает заемщик,,
8,23,product_dpr,процентная ставка по кредиту,min,???,параметры связанные с выданным продуктом,,
9,26,product_interest_min,минимальная сумма по продукту,max,???,параметры связанные с выданным продуктом,,
